Country,Category,Index,种族表征,性别,年龄,体格,服装,专业道具,等级标识,表情庄重度,姿态开放性,视线方向,面部表情,情绪强度,疲惫感表征,肢体紧张度,手势含义,团队中心性,互动亲密性,场景类型,医疗科技水平,环境秩序与卫生,国家符号,传统符号,现代戏叙事,拍摄视角,用光风格,色彩基调,景别,
Argentina,Team,3,白人,女,中年,匀称,手术服（紫红色）,无,姓名牌,70,收敛,望向患者/同事,4,"快乐: 30, 悲伤: 10, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,中性,医生位置更低,无中心（集体群像）,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,特写,
Argentina,Team,4,白人/黑人,混合,中年,匀称,手术服（粉/蓝/白）+ 口罩,听诊器、手套、病历夹,姓名牌,60,中性,望向患者/同事,3,"快乐: 20, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,平等协作,有身体接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Argentina,Emergance,1,混血,男,中年,匀称,标准白大褂+口罩,听诊器、姓名牌,姓名牌,90,收敛,望向患者/同事,3,"快乐:0, 悲伤:30, 愤怒:0, 恐惧:20, 惊讶:0, 厌恶:0",眼袋、皱纹,紧张,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,杂乱/艰苦,无,无,传统与现代混合,平视,昏暗光,灰暗色调,中景,
Argentina,Emergance,2,白人,男,中年,匀称,手术服+口罩,手术器械、口罩,无,85,收敛,望向远方/不确定,3,"快乐:0, 悲伤:25, 愤怒:10, 恐惧:15, 惊讶:0, 厌恶:0",眼周紧绷,紧张,医生位置更低,有明确中心人物,远距离,灾难现场,设备简陋或缺失,杂乱/艰苦,阿根廷国旗,无,传统与现代混合,仰拍,昏暗光,灰暗色调,特写,
Argentina,Emergance,3,白人,男,老年,清瘦,标准白大褂+口罩,听诊器、笔、姓名牌,姓名牌,75,收敛,望向患者/同事,3,"快乐:0, 悲伤:35, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、黑眼圈,中性,医生平视,有明确中心人物,近距离无接触,社区诊所,基础医疗设备,普通整洁,无,无,突出传统方式,平视,自然光,暖色调,中景,
Argentina,Emergance,4,白人,男,老年,匀称,便装+白大褂（破损）,听诊器、笔袋,无,80,收敛,直视观众,3,"快乐:0, 悲伤:20, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",白发、皱纹、眼袋,中性,医生平视,有明确中心人物,远距离,不明确,基础医疗设备,普通整洁,无,无,传统与现代混合,平视,昏暗光,灰暗色调,近景,
Australia,Doctor,1,白人/黑人,男,老年,清瘦,标准白大褂 + 听诊器,听诊器、人体骨骼、解剖台,主任胸牌,90,收敛,直视观众,2,"快乐: 0, 悲伤: 40,愤怒:0,恐惧:0, 惊讶:0, 厌恶:0",皱纹,中性,医生位置更低,有明确中心人物,远距离,实验室,基础医疗设备,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,全景,
Australia,Doctor,2,白人,男,中年,匀称,手术服（深蓝）,名字牌、笔袋、手表,姓名牌,40,开放,直视观众,5,"快乐: 80, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,舞台聚光,暖色调,近景,
Australia,Doctor,3,白人,男,老年,清瘦,手术服 + 听诊器,听诊器、病历夹,姓名牌,75,收敛,望向患者/同事,3,"快乐: 0, 悲伤: 30,愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、眼袋,紧张,医生位置更低,无中心（集体群像）,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,仰拍,昏暗光,灰暗色调,特写,
Australia,Doctor,4,黑人,男,中年,匀称,手术服（蓝色）+ 听诊器,听诊器、电脑屏幕,姓名牌,60,收敛,望向远方/不确定,3,"快乐: 20, 悲伤: 10，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,无中心（集体群像）,近距离无接触,实验室,高科技密集,高度整洁,无,无,纯粹西方现代,特写,舞台聚光,冷色调,中景,
Australia,Nurse,1,白人,女,中年,匀称,护士服（蓝色）,病历夹/平板,姓名牌,75,收敛,直视观众,4,"快乐: 40, 悲伤: 0, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Australia,Nurse,2,白人,女,青年,匀称,护士服（白色）,姓名牌,姓名牌,60,收敛,直视观众,5,"快乐: 80, 悲伤: 0, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Australia,Nurse,3,白人,女,中年,匀称,护士服（蓝色）,注射器、输液管,姓名牌,80,收敛,望向患者/同事,3,"快乐: 10, 悲伤: 0, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,紧张,医生俯视,有明确中心人物,有身体接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Australia,Nurse,4,白人,女,青年,匀称,护士服（灰色）,听诊器,姓名牌,90,收敛,直视观众,4,"快乐: 0, 悲伤: 30, 愤怒: 0, 恐惧: 20, 惊讶: 0, 厌恶: 0",无,紧张,医生俯视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,昏暗光,灰暗色调,特写,
Australia,Team,1,白人/混血,混合,青年,匀称,蓝色医护服+听诊器,听诊器、ID卡,姓名牌,50,开放,直视观众,5,"快乐:90, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Australia,Team,2,白人/混血,混合,中年,匀称,深灰/深蓝医护服+听诊器,听诊器、ID卡,姓名牌,60,收敛,直视观众,5,"快乐:85, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,舞台聚光,冷色调,中景,
Australia,Team,3,白人,女,青年,匀称,深蓝色医护服,ID卡,姓名牌,40,开放,直视观众,5,"快乐:95, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Australia,Team,4,多种族,混合,青年,匀称,卡通风格服装（医生/护士/行政）,无,无,30,开放,直视观众,5,"快乐:90, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生平视,有明确中心人物,不明确,无,无,无,澳大利亚地图+国旗,无,传统与现代混合,平视,自然光,暖色调,全景,
Australia,Emergance,1,白人,男,中年,匀称,便装+白大褂（工装衬衫）,听诊器、姓名牌、笔袋,姓名牌,70,收敛,直视观众,3,"快乐:20, 悲伤:10, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、胡须,放松,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Australia,Emergance,2,白人,女,中年,匀称,防护服+口罩+面屏,无,无,85,收敛,直视观众,3,"快乐:0, 悲伤:20, 愤怒:0, 恐惧:15, 惊讶:0, 厌恶:0",眼周紧绷,紧张,医生位置更低,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,特写,
Australia,Emergance,3,白人,男,老年,清瘦,便装+白大褂（破损）,听诊器、姓名牌,姓名牌,90,收敛,望向患者/同事,3,"快乐:0, 悲伤:30, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",深皱纹、黑眼圈,紧张,医生俯视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,俯拍,自然光,冷色调,中景,
Australia,Emergance,4,白人,男,中年,匀称,标准白大褂+眼镜,听诊器、笔袋、姓名牌,姓名牌,60,开放,直视观众,5,"快乐:70, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",白发、胡须,放松,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,近景,
Brazil,Doctor,1,混血/拉丁裔,男,中年,匀称,标准白大褂 + 便装衬衫,听诊器、笔、姓名牌,姓名牌,70,收敛,直视观众,3,"快乐: 0, 悲伤: 30, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,有明确中心人物,近距离无接触,现代化医院,高科技密集,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Brazil,Doctor,2,白人,男,老年,清瘦,标准白大褂 + 条纹衬衫,听诊器、姓名牌,姓名牌,85,收敛,直视观众,2,"快乐: 0, 悲伤: 40, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹,中性,医生位置更低,有明确中心人物,远距离,实验室,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Brazil,Doctor,3,混血/拉丁裔,男,中年,匀称,标准白大褂 + 便装衬衫,听诊器、姓名牌、笔,姓名牌,40,开放,直视观众,5,"快乐: 70, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,有明确中心人物,近距离无接触,现代化医院,高科技密集,普通整洁,无,无,纯粹西方现代,平视,自然光,暖色调,近景,
Brazil,Doctor,4,白人,男,老年,清瘦,便装 + 听诊器,听诊器、手套,无,90,收敛,望向患者/同事,2,"快乐: 0, 悲伤: 50, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、皱纹,紧张,医生俯视,无中心（集体群像）,有身体接触,社区诊所,基础医疗设备,普通整洁,无,无,传统与现代混合,仰拍,昏暗光,灰暗色调,特写,
Brazil,Nurse,1,白人,女,青年,匀称,护士服（蓝色）,无,姓名牌,85,收敛,直视观众,4,"快乐: 0, 悲伤: 20, 愤怒: 0, 恐惧: 10, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Brazil,Nurse,2,白人,女,中年,匀称,护士服（米色复古款）,无,姓名牌,70,收敛,直视观众,3,"快乐: 10, 悲伤: 20, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",皱纹,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,暖色调,近景,
Brazil,Nurse,3,白人,女,青年,匀称,护士服（白色连衣裙+围裙）,无,姓名牌,60,收敛,直视观众,2,"快乐: 0, 悲伤: 30, 愤怒: 0, 恐惧: 10, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,远距离,现代化医院,基础医疗设备,杂乱/艰苦,无,无,纯粹西方现代,平视,自然光,灰暗色调,全景,
Brazil,Nurse,4,白人,女,中年,匀称,护士服（印花蓝）,笔、病历夹,无,80,收敛,望向患者/同事,3,"快乐: 0, 悲伤: 20, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,紧张,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Brazil,Team,1,白人/混血（老年女性为主）,女,中年/老年,匀称,白色防护服+手术帽+口罩,口罩、手术帽、防护衣,无,85,收敛,直视观众,2,"快乐:20, 悲伤:60, 愤怒:0, 恐惧:10, 惊讶:0, 厌恶:0",黑眼圈、皱纹,紧张,医生俯视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,昏暗光,冷色调,特写,
Brazil,Team,2,多种族（白人、南亚裔）,混合,中年,匀称,蓝色防护服+口罩+护目镜,口罩、防护服、监护仪,无,70,收敛,望向患者/同事,3,"快乐:30, 悲伤:40, 愤怒:0, 恐惧:20, 惊讶:0, 厌恶:0",眼袋,紧张,医生位置更低,平等协作,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,仰拍,自然光,冷色调,中景,
Brazil,Team,3,黑人,女,青年,匀称,蓝色手术服+手术帽+口罩,口罩、手术帽、听诊器,无,90,收敛,望向患者/同事,2,"快乐:10, 悲伤:70, 愤怒:0, 恐惧:20, 惊讶:0, 厌恶:0",出汗、皮肤反光,紧张,医生俯视,有明确中心人物,近距离无接触,手术室,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,特写,
Brazil,Team,4,白人/混血（多民族混合）,混合,青年,匀称,红色医护服,听诊器、ID卡、姓名牌,姓名牌,40,开放,直视观众,5,"快乐:90, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,舞台聚光,暖色调,中景,
Brazil,Emergance,1,混血,男,中年,匀称,标准白大褂+手术帽,听诊器、姓名牌,姓名牌,85,收敛,望向患者/同事,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:15, 惊讶:0, 厌恶:0",眼袋、胡须,紧张,医生俯视,有明确中心人物,有身体接触,现代化医院,基础医疗设备,杂乱/艰苦,无,无,传统与现代混合,平视,昏暗光,灰暗色调,中景,
Brazil,Emergance,2,白人,男,老年,清瘦,手术服+口罩+手术帽,听诊器、姓名牌,姓名牌,95,收敛,直视观众,3,"快乐:0, 悲伤:30, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、白发,紧张,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,特写,自然光,冷色调,特写,
Brazil,Emergance,3,黑人,男,中年,匀称,手术服+口罩+护目镜,手术器械、手套,无,80,收敛,望向患者/同事,3,"快乐:0, 悲伤:20, 愤怒:0, 恐惧:10, 惊讶:0, 厌恶:0",眼周紧绷,紧张,医生位置更低,有明确中心人物,有身体接触,现代化医院,基础医疗设备,普通整洁,无,无,传统与现代混合,平视,自然光,冷色调,近景,
Brazil,Emergance,4,黑人,男,老年,匀称,手术服+听诊器,听诊器、姓名牌,姓名牌,75,收敛,望向患者/同事,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",白发、皱纹,中性,医生俯视,有明确中心人物,有身体接触,现代化医院,基础医疗设备,普通整洁,无,无,传统与现代混合,平视,自然光,冷色调,中景,
Canada,Doctor,1,白人,男,中年,匀称,手术服,无,无,0,收敛,远方/不确定,不确定,"快乐:0, 悲伤:0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,无,无中心（集体群像）,远距离,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Canada,Doctor,2,白人,女,青年,匀称,护理服,口罩、面屏、听诊器,工牌,85,收敛,望向患者/同事,4,"快乐:20, 悲伤:0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,无,有明确中心人物,近距离无接触,现代医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,特写,
Canada,Doctor,3,白人,男,中年,匀称,白大褂+便装,听诊器、电脑,工牌,30,开放,直视观众,5,"快乐:70, 悲伤:0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生平视,有明确中心人物,近距离无接触,社区诊所,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,近景,
Canada,Doctor,4,白人,男,中年,匀称,白大褂+衬衫,听诊器、笔,姓名牌,90,收敛,望向远方,2,"快乐:10, 悲伤:30，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹,中性,无,有明确中心人物,远距离,手术室,高科技密集,高度整洁,无,无,纯粹西方现代,平视,舞台聚光,冷色调,近景,
Canada,Nurse,1,白人,女,青年,匀称,护士服（红色）,听诊器,姓名牌,75,收敛,直视观众,4,"快乐: 40, 悲伤: 0, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,加拿大国旗,无,纯粹西方现代,平视,自然光,冷色调,近景,
Canada,Nurse,2,白人,女,青年,匀称,护士服（黑色）,听诊器,姓名牌,80,收敛,望向患者/同事,3,"快乐: 10, 悲伤: 0, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,紧张,医生俯视,有明确中心人物,有身体接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Canada,Nurse,3,白人,女,青年,匀称,护士服（白色）,无,无,60,收敛,望向远方/不确定,3,"快乐: 0, 悲伤: 20, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生位置更低,无中心（集体群像）,远距离,现代化医院,高科技密集,高度整洁,加拿大国旗,无,纯粹西方现代,平视,自然光,冷色调,全景,
Canada,Nurse,4,白人,女,青年,匀称,护士服（米色）,听诊器,姓名牌,70,收敛,直视观众,3,"快乐: 10, 悲伤: 0, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Canada,Team,1,白人/混血,混合,中年/青年,匀称,手术服（红色）,听诊器、姓名牌,姓名牌,50,开放,直视观众,5,"快乐: 70, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,平等协作,近距离无接触,现代化医院,高科技密集,高度整洁,加拿大国徽,无,纯粹西方现代,平视,自然光,暖色调,全景,
Canada,Team,2,白人/黑人/拉丁裔,混合,中年,匀称,救援服（红十字）+ 反光条,名字牌、对讲机,姓名牌,70,收敛,望向患者/同事,2,"快乐: 0, 悲伤: 40, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,有明确中心人物,近距离无接触,灾难现场,基础医疗设备,普通整洁,红十字标志,无,传统与现代混合,俯拍,自然光,冷色调,中景,
Canada,Team,3,白人,混合,青年/中年,匀称,手术服（灰色）,姓名牌、听诊器,姓名牌,40,开放,直视观众,5,"快乐: 60, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,平等协作,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,中景,
Canada,Team,4,白人,混合,中年,匀称,防护服（蓝色）,手术器械、口罩、手套,无,80,收敛,望向患者/同事,3,"快乐: 0, 悲伤: 30, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,无中心（集体群像）,有身体接触,现代化医院,高科技密集,高度整洁,加拿大国旗,无,传统与现代混合,仰拍,舞台聚光,冷色调,全景,
Canada,Emergance,1,混血,男,中年,匀称,标准白大褂+眼镜,听诊器、姓名牌,姓名牌,75,收敛,直视观众,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、眼袋,紧张,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Canada,Emergance,2,白人,女,中年,匀称,手术服+口罩+听诊器,听诊器、姓名牌,姓名牌,85,收敛,直视观众,2,"快乐:0, 悲伤:30, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼周紧绷,中性,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,加拿大国旗,无,纯粹西方现代,平视,昏暗光,灰暗色调,特写,
Canada,Emergance,3,亚洲人,男,中年,匀称,标准白大褂+口罩,听诊器、姓名牌,姓名牌,65,收敛,直视观众,3,"快乐:0, 悲伤:20, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、胡须,中性,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,加拿大国旗,无,纯粹西方现代,平视,自然光,冷色调,中景,
Canada,Emergance,4,黑人,男,中年,匀称,便装+白大褂,听诊器、姓名牌,姓名牌,60,开放,直视观众,5,"快乐:70, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",白发、胡须,放松,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,红十字标志,无,纯粹西方现代,平视,自然光,暖色调,近景,
China,Doctor,1,亚洲人,女,老年,清瘦,白大褂+花色内搭,无,无,75,收敛,直视观众,4,"快乐:30, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、眼袋,中性,无,有明确中心人物,近距离无接触,实验室,基础医疗设备,普通整洁,中文标语、“药厂”,无,传统与现代混合,平视,自然光,灰暗色调,特写,
China,Doctor,2,亚洲人,男,老年,匀称,白大褂+条纹衬衫,口罩,姓名牌、红色胸牌（“主任医师”）、红字刺绣,85,收敛,直视观众,3,"快乐:10, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、眼周松弛,中性,无,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,中文文字“莱石院”、“张洪瑞”,无,传统与现代混合,平视,自然光,冷色调,近景,
China,Doctor,3,亚洲人,男,中年,匀称,白大褂,无,无,60,收敛,望向实验台,3,"快乐:0, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹,中性,无,无中心（集体群像）,远距离,实验室,基础医疗设备,普通整洁,中文标语,无,传统与现代混合,俯拍,昏暗光,灰暗色调,中景,
China,Doctor,4,亚洲人,女,中年,匀称,白大褂+深色内搭,名牌、笔,姓名牌,65,开放,直视观众,4,"快乐:40, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹,放松,无,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,中文姓名“李丽华”,无,纯粹西方现代,平视,自然光,冷色调,近景,
China,Nurse,1,亚洲人,女,青年,匀称,白色护士服+护士帽,无,姓名牌,75,收敛,直视观众,4,"快乐: 30, 悲伤: 0, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
China,Nurse,2,亚洲人,女,中年,匀称,灰色工作服+头巾,注射器、药品,无,80,收敛,望向患者/同事,3,"快乐: 0, 悲伤: 10, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,紧张,医生俯视,有明确中心人物,近距离无接触,社区诊所,基础医疗设备,杂乱/艰苦,无,无,纯粹西方现代,平视,自然光,灰暗色调,中景,
China,Nurse,3,亚洲人,女,中年,匀称,白色护士服（红领红袖）+护士帽,听诊器,姓名牌,90,收敛,直视观众,2,"快乐: 0, 悲伤: 30, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",皱纹,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
